time,lat,long,vel,acc,rel_vel,rel_pos,date_time
1724365831.844269,37.7569755,-122.21061466666669,14.939236640930176,0.4199999868869781,0.375,39.29999923706055,2024-08-22 15:30:31.844269
1724365833.1447327,37.757077833333334,-122.21070416666667,15.312500953674316,0.0399999991059303,0.4375,40.10000228881836,2024-08-22 15:30:33.144732
1724365834.4443932,37.75718366666667,-122.21079616666668,15.51215362548828,0.199999988079071,0.4375,40.60000228881836,2024-08-22 15:30:34.444393
1724365835.7443311,37.75729116666667,-122.2108895,15.659723281860352,0.0,0.125,40.70000076293945,2024-08-22 15:30:35.744331
1724365836.9445846,37.75808216666667,-122.21158833333334,15.86371612548828,0.0,0.125,40.79999923706055,2024-08-22 15:30:36.944584
1724365839.04438,37.75820083333333,-122.21169233333332,16.150175094604492,0.1700000017881393,0.25,41.20000076293945,2024-08-22 15:30:39.044379
1724365840.3445385,37.75832033333333,-122.21179733333334,16.33246612548828,0.0399999991059303,0.0625,41.5,2024-08-22 15:30:40.344538
1724365841.6444075,37.7584405,-122.211904,16.31944465637207,0.1499999910593032,-0.25,41.10000228881836,2024-08-22 15:30:41.644407
1724365842.9442186,37.7585615,-122.21201083333334,16.315105438232422,0.0799999982118606,-0.4375,40.70000076293945,2024-08-22 15:30:42.944218
1724365844.2444673,37.7586825,-122.21211833333334,16.31944465637207,0.0,-0.25,40.400001525878906,2024-08-22 15:30:44.244467
1724365845.544597,37.75880383333333,-122.21222633333332,16.219619750976562,-0.0499999970197677,-0.5,39.79999923706055,2024-08-22 15:30:45.544596
1724365846.8441644,37.758924666666665,-122.21233483333332,15.993924140930176,-0.1700000017881393,-0.6875,38.70000076293945,2024-08-22 15:30:46.844164
1724365848.1443002,37.759045666666665,-122.21244283333333,15.733508110046388,-0.2800000011920929,-0.9375,37.5,2024-08-22 15:30:48.144300
1724365849.444352,37.75916683333333,-122.2125495,15.381945610046388,-0.2899999916553497,-1.1875,35.60000228881836,2024-08-22 15:30:49.444351
1724365850.7446313,37.7592875,-122.212655,14.41840362548828,-1.1899999380111694,-2.0625,33.0,2024-08-22 15:30:50.744631
1724365852.044366,37.75940533333333,-122.21276033333334,13.016493797302246,-0.4899999797344208,-1.4375,30.700000762939453,2024-08-22 15:30:52.044365
1724365853.344136,37.75952266666667,-122.21286516666666,12.005208969116213,-0.7099999785423279,-0.8125,29.200000762939453,2024-08-22 15:30:53.344136
1724365854.644379,37.75963766666667,-122.212966,11.28038215637207,-0.1599999964237213,-0.4375,28.399999618530273,2024-08-22 15:30:54.644378
1724365855.9444225,37.759748333333334,-122.2130615,10.989583969116213,-0.209999993443489,-0.5625,27.600000381469727,2024-08-22 15:30:55.944422
1724365857.2443652,37.7598515,-122.21315183333331,10.698784828186035,-0.199999988079071,-0.25,27.100000381469727,2024-08-22 15:30:57.244365
1724365858.5443163,37.75994816666667,-122.21323633333331,10.41232681274414,-0.1199999973177909,-0.5,26.399999618530273,2024-08-22 15:30:58.544316
1724365859.7445242,37.7605235,-122.21374266666666,10.151909828186035,-0.1299999952316284,-0.1875,26.100000381469727,2024-08-22 15:30:59.744524
1724365861.8443153,37.76059883333333,-122.21380933333332,9.969618797302246,0.0700000002980232,0.0,25.899999618530273,2024-08-22 15:31:01.844315
1724365863.144362,37.760672666666665,-122.21387566666668,10.034722328186035,0.0999999940395355,0.3125,26.200000762939453,2024-08-22 15:31:03.144361
1724365864.444254,37.7607465,-122.21394066666667,10.26475715637207,0.0700000002980232,0.625,27.0,2024-08-22 15:31:04.444253
1724365865.7442076,37.760821166666666,-122.21400666666666,10.581597328186035,0.2599999904632568,0.6875,28.0,2024-08-22 15:31:05.744207
1724365867.0446568,37.76089733333333,-122.214073,11.102431297302246,0.3899999856948852,0.8125,29.5,2024-08-22 15:31:07.044656
1724365868.3443875,37.7609755,-122.21414066666668,11.597222328186035,0.3400000035762787,0.75,31.0,2024-08-22 15:31:08.344387
1724365869.6442108,37.76105616666667,-122.21420966666666,12.044271469116213,0.1599999964237213,0.75,32.29999923706055,2024-08-22 15:31:09.644210
1724365870.944484,37.7611395,-122.21428166666666,12.67795181274414,0.8100000023841858,1.3125,34.0,2024-08-22 15:31:10.944483
1724365872.2444482,37.7612255,-122.214357,13.294271469116213,0.2999999821186065,1.4375,35.70000076293945,2024-08-22 15:31:12.244448
1724365873.544313,37.76131433333333,-122.21443533333333,13.81076431274414,0.3700000047683716,1.0,36.900001525878906,2024-08-22 15:31:13.544312
1724365874.8441577,37.76140616666667,-122.21451633333334,14.05381965637207,0.0700000002980232,0.625,37.70000076293945,2024-08-22 15:31:14.844157
1724365876.1443756,37.7615015,-122.21460133333332,14.470486640930176,0.4699999988079071,0.75,38.60000228881836,2024-08-22 15:31:16.144375
1724365877.4443562,37.76160016666667,-122.21468883333333,15.073785781860352,0.3299999833106994,0.5,39.400001525878906,2024-08-22 15:31:17.444356
1724365878.7443428,37.76170166666667,-122.214778,15.360243797302246,0.3199999928474426,0.625,40.10000228881836,2024-08-22 15:31:18.744342
1724365880.0444732,37.7618055,-122.2148685,15.889758110046388,0.4099999964237213,0.8125,41.400001525878906,2024-08-22 15:31:20.044473
1724365881.344406,37.76191133333333,-122.2149605,16.610244750976562,0.6499999761581421,0.9375,43.10000228881836,2024-08-22 15:31:21.344405
